SITECODE,PERIOD,LU_INT,LU_PROCESS,GP,SGP,CONTEXT,BASIC_INT,PARENT_CONTEXT,BASIC_PROCESS,ACC_NO,MATERIAL,COIN_TYPE,COIN_REGIME,RULER,COIN_EDATE,COIN_LDATE,DENOMINATION,DIAMETER,MINT,COIN_MONEYER,COIN_CONDITION,COIN_REFS,COIN_NOTE,ASS_TPQ,ASS_TAQ,CONEMP
A14-32,7.3,E5,,67,,324242,NATURAL INFILLING,324240,,32135,COPPER ALLOY,COIN,R,,364,378,NUMMUS,18,,,,,,0,0,
A14-32,,,,,,329999,,,,32120,IRON,,,,0,0,,,,,,,,0,0,
A14-32,,,,,,329999,,,,32123,COPPER ALLOY,,,,1500,1700,,25,,,,,,0,0,
A14-32,,,,,,329999,,,,32124,SILVER,COIN,E,,1280,1412,PENNY,19.2,DURHAM,,,,,0,0,
A14-32,,,,,,329999,,,,32125,COPPER ALLOY,,,,0,0,,,,,,,,0,0,
A14-32,,,,,,329999,,,,32126,COPPER ALLOY,COIN,R,,117,193,AS OR DUPONDIUS,27,,,,,,0,0,
A14-32,,,,,,329999,,,,32127,COPPER ALLOY,,,,0,0,,,,,,,,0,0,
A14-32,,,,,,329999,,,,32451,COPPER ALLOY,COIN,E,JAMES I,1613,1614,FARTHING,15,,,,"cf Peck 1964, 35 but details illegible",,0,0,
A14-32,,,,,,329999,,,,32452,COPPER ALLOY,,,,0,0,,,,,,,,0,0,
A14-32,,,,,,329999,,,,32453,LEAD,,,,850,1050,,,,,,,,0,0,
A14-32,,,,,,329999,,,,32759,GLASS,,,,43,200,,,,,NA,,,0,0,
A14-32,,,,,,329999,,,,32779,BONE,,,,550,900,,,,,NA,,,0,0,
A14-33,99,-,,,,330659,SUBSOIL,330659,,33063,COPPER ALLOY,,,,0,0,,,,,,,,0,0,
A14-33,99,-,,,,330659,SUBSOIL,330659,,33064,COPPER ALLOY,COPY,R,,354,364,,13,,,,,,0,0,
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33094,IRON,,,,0,0,,,,,,,,0,0,
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33095,IRON,,,,0,0,,,,,,,,0,0,
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33096,IRON,,,,0,0,,,,,,,,0,0,
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33100,IRON,,,,0,0,,,,,,,,0,0,
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33101,IRON,,,,0,0,,,,,,,,0,0,
A14-33,6.4,E14,,278,,334142,DUMPED LAYER,334334,,33102,IRON,,,,0,0,,,,,,,,0,0,
